"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SSR1",0,0.571675438237908,0.592,0.382,0
"PRDM1",0,1.73802867987677,0.345,0.121,0
"UBE2J1",0,0.718302706427441,0.608,0.381,0
"MARCKS",0,1.29338128717613,0.559,0.382,0
"SMPDL3A",0,0.437646396233785,0.193,0.043,0
"HEBP2",0,0.418984587534244,0.482,0.268,0
"RPS12",0,0.950756051177181,0.932,0.898,0
"FRK",0,0.405347666602678,0.109,0.008,0
"PSMB1",0,0.723440264676669,0.714,0.481,0
"RNF144B",0,1.82214160614167,0.593,0.364,0
"SERPINB1",0,1.14119904161216,0.734,0.535,0
"SERPINB9",0,1.41681843295565,0.609,0.45,0
"FKBP5",0,2.61264326444907,0.794,0.516,0
"AIF1",0,1.42778920412834,0.569,0.334,0
"HLA-DMA",0,0.91122581020001,0.488,0.214,0
"EEF1A1",0,0.766004109931429,0.948,0.965,0
"HSPA1A",0,2.33843046546881,0.555,0.317,0
"CSNK2B",0,0.457694014034141,0.56,0.334,0
"SNX9",0,1.64379251774968,0.517,0.274,0
"HLA-DRA",0,1.42320546642455,0.733,0.618,0
"RPL10A",0,0.822093966704801,0.88,0.777,0
"OOEP",0,0.359404840918814,0.36,0.161,0
"RNASET2",0,0.848230519923239,0.643,0.381,0
"RPS18",0,1.03609944646702,0.923,0.874,0
"ENSG00000271793",0,0.77374268972772,0.793,0.551,0
"KCNQ5",0,-1.67875742323142,0.174,0.566,0
"HLA-C",0,1.33983124195837,0.926,0.89,0
"HLA-DPA1",0,0.835798616149178,0.629,0.457,0
"HLA-DRB5",0,2.38357867933744,0.588,0.173,0
"HLA-DQB1",0,1.22216630881237,0.638,0.361,0
"ESR1",0,0.696635573898188,0.209,0.063,0
"CLIC1",0,0.632974471539813,0.835,0.704,0
"HLA-B",0,1.15109373307699,0.973,0.956,0
"FGD2",0,0.859118612330145,0.4,0.158,0
"SF3B5",0,0.576913804242533,0.627,0.385,0
"COX7A2",0,0.970576917964662,0.757,0.525,0
"SNX3",0,0.502693807618798,0.681,0.473,0
"HLA-DRB1",0,1.12314347624536,0.722,0.526,0
"RPS10",0,1.15103718466188,0.894,0.747,0
"HLA-A",0,0.636588227740611,0.944,0.918,0
"NDUFA4",0,0.908872683662407,0.742,0.538,0
"ITGB8",0,1.05061049649936,0.185,0.038,0
"IGF2BP3",0,0.340264819464407,0.22,0.064,0
"SEC61G",0,1.20807003093005,0.727,0.456,0
"CYCS",0,0.688781202424321,0.58,0.32,0
"SND1",0,0.571811834529548,0.727,0.536,0
"TFEC",0,0.666149283083666,0.378,0.168,0
"MTPN",0,0.583671206734079,0.727,0.551,0
"CHCHD2",0,0.814162553704338,0.813,0.612,0
"HIPK2",0,1.20595285609806,0.642,0.444,0
"FIS1",0,0.584117605338775,0.54,0.346,0
"BRI3",0,0.629445019980593,0.699,0.525,0
"MYO1G",0,0.692073022895582,0.484,0.254,0
"CHCHD3",0,0.559916459051287,0.735,0.517,0
"ZNHIT1",0,0.479103585402793,0.54,0.341,0
"TMEM176B",0,0.70161999424856,0.297,0.11,0
"NDUFB2",0,0.641097850411328,0.69,0.488,0
"ATP5MF",0,0.673715386767238,0.693,0.485,0
"HSPB1",0,1.40440730328439,0.406,0.21,0
"ACTB",0,0.931740427424473,0.964,0.963,0
"CDK14",0,1.29286054839367,0.407,0.203,0
"PPIA",0,0.597487534690131,0.831,0.687,0
"GNA12",0,0.62032386685355,0.477,0.241,0
"GNB2",0,0.557706969232556,0.581,0.361,0
"KDELR2",0,0.955818207708682,0.525,0.264,0
"ATP6V1F",0,0.711592880569405,0.653,0.411,0
"BHLHA15",0,0.311925946325529,0.108,0.002,0
"CUX1",0,0.651719601744321,0.786,0.65,0
"STEAP1B",0,0.585448671314361,0.366,0.15,0
"ABCB5",0,-0.737095244529271,0.043,0.221,0
